Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Churn,ticket_length,engagement_score,has_complaint
446,0.0,12,1,60,0.0,0
350,0.0,8,0,54,0.0,0
732,2.0,16,0,36,32.0,0
662,0.0,11,1,54,0.0,1
627,2.0,8,1,54,16.0,1
294,2.0,33,0,41,66.0,0
986,2.0,13,0,57,26.0,0
758,3.0,82,0,40,246.0,0
388,0.0,5,1,49,0.0,0
425,0.0,7,1,56,0.0,0
213,3.0,82,0,53,246.0,0
821,3.0,95,0,40,285.0,0
467,2.0,24,0,40,48.0,0
112,2.0,17,0,36,34.0,0
415,2.0,9,1,60,18.0,0
224,3.0,54,0,37,162.0,0
246,3.0,39,0,50,117.0,0
118,2.0,9,1,54,18.0,0
637,3.0,33,0,36,99.0,0
277,2.0,46,1,28,92.0,0
122,2.0,8,1,54,16.0,1
253,3.0,15,0,40,45.0,0
959,2.0,4,1,56,8.0,0
758,3.0,59,0,36,177.0,0
425,2.0,28,0,36,56.0,0
414,2.0,8,1,54,16.0,1
286,2.0,51,0,50,102.0,0
429,2.0,9,1,60,18.0,0
83,3.0,58,0,53,174.0,0
522,3.0,56,0,41,168.0,0
91,3.0,24,0,37,72.0,0
708,2.0,58,0,36,116.0,0
423,3.0,45,1,50,135.0,0
146,3.0,113,0,53,339.0,0
155,3.0,40,0,37,120.0,0
629,3.0,47,0,40,141.0,0
792,2.0,49,0,28,98.0,0
693,2.0,14,1,56,28.0,0
632,2.0,44,0,41,88.0,0
843,2.0,55,0,36,110.0,0
1067,2.0,13,1,49,26.0,0
664,2.0,27,0,28,54.0,0
722,3.0,101,0,41,303.0,0
82,2.0,7,1,54,14.0,0
320,3.0,34,1,28,102.0,0
918,3.0,29,0,50,87.0,0
551,2.0,2,0,60,4.0,0
162,2.0,40,0,36,80.0,0
798,2.0,20,1,28,40.0,0
154,0.0,2,1,57,0.0,0
624,2.0,2,1,49,4.0,0
135,0.0,5,1,54,0.0,0
694,3.0,24,0,28,72.0,0
722,0.0,8,1,57,0.0,0
66,0.0,10,1,54,0.0,1
858,0.0,12,1,54,0.0,0
1018,3.0,65,0,53,195.0,0
586,3.0,58,0,43,174.0,0
311,2.0,5,1,49,10.0,0
561,2.0,29,1,50,58.0,0
670,3.0,77,0,43,231.0,0
435,3.0,82,0,43,246.0,0
812,3.0,51,0,28,153.0,0
90,3.0,35,0,40,105.0,0
350,0.0,5,1,54,0.0,1
32,0.0,11,1,60,0.0,0
199,0.0,4,1,54,0.0,0
568,2.0,55,1,28,110.0,0
664,3.0,82,0,53,246.0,0
236,2.0,8,1,49,16.0,0
522,0.0,11,0,49,0.0,0
982,3.0,58,0,40,174.0,0
198,2.0,33,0,28,66.0,0
689,2.0,41,0,40,82.0,0
297,0.0,6,1,60,0.0,0
1051,3.0,19,1,50,57.0,0
722,0.0,7,1,56,0.0,0
667,3.0,76,0,44,228.0,0
175,3.0,99,0,49,297.0,0
1011,0.0,14,0,54,0.0,0
427,2.0,24,0,28,48.0,0
652,3.0,76,0,40,228.0,0
903,2.0,7,1,54,14.0,1
865,3.0,45,0,37,135.0,0
435,0.0,1,1,49,0.0,0
1069,2.0,23,0,40,46.0,0
318,2.0,8,1,56,16.0,0
339,3.0,119,0,41,357.0,0
848,3.0,73,0,40,219.0,0
698,2.0,14,0,49,28.0,0
442,3.0,83,0,40,249.0,0
96,3.0,60,0,40,180.0,0
488,3.0,36,0,28,108.0,0
867,3.0,53,0,28,159.0,0
952,2.0,58,0,40,116.0,0
521,2.0,59,0,40,118.0,0
1084,2.0,10,1,60,20.0,0
98,3.0,70,0,44,210.0,0
226,2.0,26,0,50,52.0,0
356,2.0,33,0,41,66.0,0
982,3.0,49,1,49,147.0,0
763,3.0,101,0,41,303.0,0
202,2.0,14,0,57,28.0,0
62,0.0,14,1,54,0.0,1
605,3.0,68,0,41,204.0,0
1011,3.0,25,0,28,75.0,0
149,2.0,12,1,54,24.0,0
390,2.0,1,1,56,2.0,0
201,2.0,7,1,54,14.0,0
1069,3.0,97,0,41,291.0,0
635,3.0,117,0,40,351.0,0
1010,3.0,74,0,41,222.0,0
95,2.0,31,0,40,62.0,0
869,0.0,8,1,54,0.0,1
442,3.0,83,0,49,249.0,0
1030,2.0,8,0,60,16.0,0
405,2.0,5,1,54,10.0,0
1057,0.0,2,1,57,0.0,0
78,3.0,53,1,41,159.0,0
349,2.0,46,1,36,92.0,0
1005,3.0,100,0,49,300.0,0
1087,3.0,52,0,44,156.0,0
765,2.0,3,0,60,6.0,0
456,2.0,21,0,40,42.0,0
961,2.0,4,0,57,8.0,0
214,2.0,10,1,54,20.0,1
474,3.0,20,1,36,60.0,0
901,0.0,5,1,56,0.0,0
49,2.0,12,1,49,24.0,0
356,2.0,43,0,36,86.0,0
147,3.0,47,0,50,141.0,0
468,3.0,57,0,43,171.0,0
1055,3.0,64,0,41,192.0,0
924,3.0,71,0,41,213.0,0
51,3.0,49,0,41,147.0,0
448,2.0,45,0,36,90.0,0
775,3.0,79,0,41,237.0,0
40,2.0,28,0,41,56.0,0
181,0.0,14,1,57,0.0,0
452,2.0,4,0,56,8.0,0
19,3.0,57,0,53,171.0,0
101,3.0,53,1,43,159.0,0
311,2.0,8,1,60,16.0,0
174,2.0,1,1,54,2.0,1
779,0.0,1,1,49,0.0,0
883,3.0,43,0,37,129.0,0
931,2.0,58,0,41,116.0,0
267,2.0,48,0,41,96.0,0
1026,3.0,43,0,36,129.0,0
849,0.0,1,1,56,0.0,0
594,2.0,52,0,36,104.0,0
128,3.0,32,0,41,96.0,0
611,2.0,14,1,49,28.0,0
360,2.0,43,0,37,86.0,0
601,3.0,107,0,43,321.0,0
715,2.0,20,0,36,40.0,0
621,2.0,19,0,37,38.0,0
875,0.0,5,1,54,0.0,1
691,3.0,96,0,53,288.0,0
607,3.0,104,0,49,312.0,0
166,3.0,49,0,43,147.0,0
50,3.0,20,1,36,60.0,0
748,2.0,10,1,49,20.0,0
256,2.0,55,0,37,110.0,0
36,3.0,105,0,40,315.0,0
1089,2.0,44,0,50,88.0,0
450,3.0,118,0,41,354.0,0
636,3.0,22,0,36,66.0,0
319,2.0,30,1,36,60.0,0
912,2.0,39,0,41,78.0,0
967,0.0,1,1,60,0.0,0
360,3.0,15,0,37,45.0,0
1050,3.0,22,0,50,66.0,0
785,2.0,4,1,57,8.0,0
499,0.0,3,1,49,0.0,0
974,0.0,7,1,49,0.0,0
954,2.0,12,1,57,24.0,0
864,3.0,49,0,37,147.0,0
118,3.0,65,0,41,195.0,0
664,3.0,65,0,53,195.0,0
403,2.0,48,0,41,96.0,0
1032,2.0,2,1,56,4.0,0
529,2.0,28,0,41,56.0,0
593,3.0,51,0,41,153.0,0
734,3.0,106,0,41,318.0,0
282,3.0,56,1,41,168.0,0
528,2.0,5,0,49,10.0,0
1073,3.0,27,0,41,81.0,0
444,3.0,47,0,53,141.0,0
586,3.0,15,1,40,45.0,0
113,0.0,12,1,57,0.0,0
844,3.0,32,0,40,96.0,0
925,0.0,8,1,60,0.0,0
362,3.0,54,0,44,162.0,0
984,3.0,26,0,40,78.0,0
961,0.0,6,1,56,0.0,0
363,3.0,58,0,41,174.0,0
106,2.0,18,0,28,36.0,0
925,2.0,13,1,56,26.0,0
867,2.0,9,0,49,18.0,0
477,3.0,21,0,37,63.0,0
818,3.0,51,0,36,153.0,0
1040,2.0,11,1,60,22.0,0
407,2.0,14,1,49,28.0,0
594,3.0,57,0,36,171.0,0
1044,3.0,33,1,41,99.0,0
427,3.0,63,0,43,189.0,0
437,2.0,11,1,49,22.0,0
446,2.0,44,0,40,88.0,0
824,3.0,63,0,41,189.0,0
129,3.0,35,0,37,105.0,0
960,3.0,24,0,28,72.0,0
303,3.0,109,0,43,327.0,0
287,2.0,30,0,37,60.0,0
964,0.0,12,1,54,0.0,0
19,3.0,46,0,36,138.0,0
557,3.0,21,0,37,63.0,0
992,0.0,2,1,56,0.0,0
286,3.0,62,0,41,186.0,0
399,0.0,2,1,49,0.0,0
881,3.0,33,0,28,99.0,0
567,3.0,32,0,41,96.0,0
561,2.0,17,0,28,34.0,0
1062,2.0,8,1,60,16.0,0
822,3.0,27,0,50,81.0,0
828,2.0,58,1,50,116.0,0
893,2.0,48,0,41,96.0,0
377,3.0,53,0,40,159.0,0
844,3.0,116,0,49,348.0,0
91,2.0,23,0,28,46.0,0
25,2.0,36,0,28,72.0,0
791,2.0,43,0,36,86.0,0
190,0.0,4,1,54,0.0,1
300,3.0,26,0,50,78.0,0
781,0.0,3,1,54,0.0,0
130,0.0,2,1,49,0.0,0
1071,0.0,12,1,54,0.0,1
758,2.0,8,1,49,16.0,0
826,2.0,7,1,56,14.0,0
672,3.0,16,0,50,48.0,0
617,0.0,2,1,54,0.0,1
693,0.0,4,1,49,0.0,0
144,3.0,95,0,43,285.0,0
547,3.0,52,0,50,156.0,0
444,2.0,2,1,57,4.0,0
1017,3.0,85,0,40,255.0,0
183,0.0,14,1,54,0.0,1
707,2.0,52,0,40,104.0,0
798,2.0,53,0,37,106.0,0
420,3.0,44,0,50,132.0,0
455,2.0,42,0,37,84.0,0
308,2.0,15,0,50,30.0,0
8,2.0,57,0,41,114.0,0
1094,2.0,26,0,50,52.0,0
782,2.0,16,0,40,32.0,0
136,3.0,90,0,40,270.0,0
308,2.0,19,0,36,38.0,0
840,3.0,49,0,37,147.0,0
134,2.0,58,0,37,116.0,0
578,3.0,42,0,40,126.0,0
793,0.0,4,1,56,0.0,0
821,3.0,47,0,41,141.0,0
13,0.0,3,1,60,0.0,0
1040,3.0,65,0,49,195.0,0
330,2.0,18,0,50,36.0,0
596,2.0,57,0,40,114.0,0
889,2.0,19,0,40,38.0,0
13,3.0,40,0,41,120.0,0
480,3.0,71,0,40,213.0,0
934,3.0,59,1,40,177.0,0
703,0.0,14,1,56,0.0,0
302,2.0,10,1,54,20.0,0
325,2.0,29,0,37,58.0,0
1052,3.0,95,0,40,285.0,0
363,2.0,3,1,49,6.0,0
375,2.0,51,0,40,102.0,0
498,2.0,57,1,40,114.0,0
41,0.0,9,1,54,0.0,0
352,0.0,14,0,49,0.0,0
511,2.0,59,0,50,118.0,0
950,3.0,87,0,40,261.0,0
70,2.0,10,1,49,20.0,0
649,2.0,59,0,36,118.0,0
912,2.0,40,0,28,80.0,0
560,2.0,12,1,49,24.0,0
290,2.0,41,0,41,82.0,0
219,3.0,25,0,36,75.0,0
85,3.0,97,0,41,291.0,0
414,2.0,12,1,54,24.0,0
795,3.0,33,1,40,99.0,0
401,3.0,29,1,50,87.0,0
318,3.0,51,0,36,153.0,0
346,3.0,104,0,43,312.0,0
766,2.0,52,0,28,104.0,0
601,2.0,4,1,56,8.0,0
1089,3.0,26,0,28,78.0,0
990,3.0,25,1,28,75.0,0
607,2.0,52,0,28,104.0,0
13,3.0,48,0,53,144.0,0
598,0.0,11,1,49,0.0,0
1019,0.0,5,1,56,0.0,0
307,2.0,14,1,54,28.0,0
893,3.0,117,1,53,351.0,0
650,2.0,6,1,57,12.0,0
670,2.0,8,1,49,16.0,0
447,3.0,37,0,41,111.0,0
866,3.0,20,0,37,60.0,0
516,3.0,57,0,37,171.0,0
355,3.0,49,0,41,147.0,0
520,2.0,28,0,28,56.0,0
704,3.0,26,1,28,78.0,0
296,0.0,7,1,54,0.0,0
379,2.0,47,0,50,94.0,0
814,2.0,8,0,54,16.0,1
1014,3.0,80,0,53,240.0,0
817,3.0,51,1,37,153.0,0
431,2.0,10,1,56,20.0,0
496,0.0,11,1,56,0.0,0
160,3.0,24,0,36,72.0,0
868,3.0,69,0,41,207.0,0
600,0.0,6,1,57,0.0,0
1037,2.0,14,1,54,28.0,1
1050,0.0,13,1,56,0.0,0
72,2.0,30,0,40,60.0,0
430,2.0,2,1,54,4.0,0
546,3.0,105,0,44,315.0,0
822,0.0,3,1,60,0.0,0
749,3.0,22,1,40,66.0,0
911,3.0,108,1,40,324.0,0
658,2.0,28,0,40,56.0,0
1004,2.0,48,0,50,96.0,0
1002,0.0,6,1,54,0.0,0
777,2.0,7,1,54,14.0,0
855,3.0,52,0,50,156.0,0
87,3.0,61,0,53,183.0,0
564,3.0,104,0,49,312.0,0
152,3.0,71,0,53,213.0,0
789,0.0,10,1,60,0.0,0
59,2.0,50,0,28,100.0,0
695,3.0,38,0,28,114.0,0
9,3.0,54,0,50,162.0,0
557,3.0,47,0,40,141.0,0
387,3.0,17,0,36,51.0,0
878,2.0,52,1,50,104.0,0
527,3.0,38,0,37,114.0,0
892,2.0,31,0,50,62.0,0
407,2.0,42,1,37,84.0,0
252,0.0,3,1,54,0.0,1
566,3.0,36,0,50,108.0,0
197,2.0,5,0,54,10.0,1
511,3.0,33,0,41,99.0,0
800,2.0,2,1,49,4.0,0
598,0.0,14,1,54,0.0,0
817,3.0,106,0,44,318.0,0
591,2.0,29,0,36,58.0,0
669,2.0,48,0,41,96.0,0
37,2.0,55,0,28,110.0,0
827,3.0,56,0,43,168.0,0
594,2.0,51,0,50,102.0,0
113,3.0,59,0,53,177.0,0
813,3.0,63,0,53,189.0,0
170,3.0,32,0,41,96.0,0
816,2.0,38,1,36,76.0,0
928,3.0,74,0,49,222.0,0
551,3.0,50,0,43,150.0,0
986,3.0,93,0,40,279.0,0
477,2.0,5,1,54,10.0,1
489,3.0,15,0,50,45.0,0
1070,2.0,12,0,57,24.0,0
278,3.0,59,0,44,177.0,0
853,0.0,13,1,54,0.0,0
480,3.0,35,1,40,105.0,0
76,2.0,10,1,57,20.0,0
639,3.0,76,0,40,228.0,0
338,3.0,109,1,44,327.0,0
735,3.0,19,1,36,57.0,0
997,3.0,57,0,36,171.0,0
67,2.0,54,0,36,108.0,0
302,3.0,65,0,49,195.0,0
721,2.0,12,0,54,24.0,1
307,3.0,20,1,37,60.0,0
132,3.0,49,0,50,147.0,0
891,2.0,59,0,41,118.0,0
990,3.0,33,0,36,99.0,0
914,2.0,53,0,36,106.0,0
70,3.0,91,1,43,273.0,0
400,2.0,5,1,57,10.0,0
767,3.0,46,0,40,138.0,0
512,3.0,21,1,36,63.0,0
161,2.0,20,0,37,40.0,0
877,0.0,2,1,49,0.0,0
42,3.0,56,0,36,168.0,0
954,3.0,57,0,41,171.0,0
111,0.0,3,0,54,0.0,1
1024,2.0,25,1,40,50.0,0
575,3.0,92,0,44,276.0,0
763,3.0,110,0,44,330.0,0
681,2.0,41,0,40,82.0,0
228,3.0,91,0,43,273.0,0
275,2.0,17,0,40,34.0,0
958,2.0,14,0,57,28.0,0
393,3.0,59,0,37,177.0,0
349,3.0,95,0,53,285.0,0
295,0.0,9,0,49,0.0,0
87,2.0,57,1,28,114.0,0
975,3.0,56,0,53,168.0,0
279,0.0,3,1,49,0.0,0
159,0.0,6,1,49,0.0,0
468,2.0,22,0,41,44.0,0
161,2.0,51,0,50,102.0,0
859,3.0,24,0,36,72.0,0
834,3.0,34,0,50,102.0,0
395,3.0,40,0,36,120.0,0
1030,3.0,45,0,50,135.0,0
189,3.0,80,0,53,240.0,0
258,2.0,53,0,28,106.0,0
606,0.0,10,1,56,0.0,0
250,0.0,9,0,54,0.0,0
639,2.0,28,0,36,56.0,0
308,2.0,2,1,49,4.0,0
37,2.0,7,1,57,14.0,0
906,2.0,9,1,54,18.0,1
236,2.0,40,0,28,80.0,0
220,2.0,40,0,37,80.0,0
482,2.0,54,0,28,108.0,0
78,3.0,20,0,40,60.0,0
701,3.0,98,0,53,294.0,0
590,3.0,23,0,41,69.0,0
338,2.0,50,0,40,100.0,0
547,3.0,53,0,41,159.0,0
320,0.0,11,1,54,0.0,1
376,0.0,8,0,54,0.0,1
809,2.0,52,0,37,104.0,0
955,3.0,52,0,41,156.0,0
1065,2.0,33,0,40,66.0,0
1055,2.0,17,0,37,34.0,0
584,2.0,33,0,28,66.0,0
864,3.0,31,0,41,93.0,0
620,3.0,51,0,36,153.0,0
364,2.0,8,1,56,16.0,0
17,2.0,32,0,50,64.0,0
653,2.0,54,0,40,108.0,0
784,2.0,44,0,37,88.0,0
868,3.0,98,0,49,294.0,0
33,0.0,7,1,49,0.0,0
165,0.0,10,1,56,0.0,0
856,2.0,16,0,36,32.0,0
855,2.0,25,1,41,50.0,0
522,3.0,78,0,43,234.0,0
291,3.0,87,0,53,261.0,0
916,3.0,35,0,36,105.0,0
881,2.0,24,0,50,48.0,0
929,2.0,43,0,41,86.0,0
617,3.0,15,0,37,45.0,0
177,3.0,45,0,50,135.0,0
992,3.0,27,0,36,81.0,0
1049,3.0,79,0,49,237.0,0
619,2.0,22,0,50,44.0,0
837,3.0,58,0,28,174.0,0
893,2.0,21,0,41,42.0,0
1,2.0,14,0,60,28.0,0
1005,3.0,50,0,50,150.0,0
950,3.0,15,0,40,45.0,0
936,2.0,12,1,60,24.0,0
1009,2.0,6,1,57,12.0,0
76,2.0,10,1,60,20.0,0
845,2.0,47,0,37,94.0,0
730,2.0,3,1,49,6.0,0
1030,2.0,39,0,40,78.0,0
156,2.0,47,0,28,94.0,0
806,3.0,109,0,43,327.0,0
1060,2.0,29,0,41,58.0,0
468,2.0,30,0,28,60.0,0
42,3.0,61,1,44,183.0,0
134,2.0,3,1,54,6.0,1
763,2.0,28,0,37,56.0,0
137,2.0,24,0,37,48.0,0
151,3.0,65,0,49,195.0,0
494,2.0,10,1,49,20.0,0
914,3.0,25,0,37,75.0,0
348,3.0,49,0,40,147.0,0
776,0.0,11,1,60,0.0,0
734,3.0,57,0,37,171.0,0
318,2.0,54,0,40,108.0,0
806,2.0,10,0,60,20.0,0
622,2.0,35,0,28,70.0,0
194,2.0,36,0,41,72.0,0
136,3.0,19,1,28,57.0,0
237,3.0,98,0,40,294.0,0
90,3.0,25,1,36,75.0,0
725,2.0,43,0,40,86.0,0
307,2.0,9,1,54,18.0,1
399,0.0,13,0,54,0.0,1
419,0.0,10,1,54,0.0,1
654,0.0,12,1,54,0.0,1
940,2.0,52,0,40,104.0,0
621,0.0,3,0,54,0.0,1
871,3.0,28,0,50,84.0,0
94,2.0,26,0,37,52.0,0
808,3.0,25,0,36,75.0,0
187,2.0,9,1,54,18.0,0
96,3.0,26,0,37,78.0,0
902,0.0,13,1,54,0.0,1
687,3.0,58,0,28,174.0,0
382,0.0,1,1,60,0.0,0
598,3.0,90,0,40,270.0,0
332,3.0,77,0,41,231.0,0
1087,2.0,21,0,40,42.0,0
561,2.0,13,1,56,26.0,0
96,2.0,2,1,57,4.0,0
780,3.0,51,1,41,153.0,0
797,3.0,33,0,41,99.0,0
257,2.0,4,1,54,8.0,1
418,3.0,114,0,40,342.0,0
288,3.0,56,0,50,168.0,0
810,3.0,19,0,41,57.0,0
639,2.0,8,1,54,16.0,0
575,2.0,8,1,54,16.0,1
827,3.0,83,0,53,249.0,0
277,2.0,17,0,37,34.0,0
561,2.0,36,0,50,72.0,0
508,3.0,48,1,28,144.0,0
963,0.0,10,1,54,0.0,1
1063,0.0,14,1,60,0.0,0
211,3.0,99,0,41,297.0,0
654,2.0,3,1,49,6.0,0
365,2.0,49,1,40,98.0,0
997,3.0,36,0,41,108.0,0
839,0.0,2,0,54,0.0,1
1091,3.0,41,0,37,123.0,0
243,3.0,40,0,40,120.0,0
195,2.0,59,0,28,118.0,0
384,2.0,12,1,49,24.0,0
582,3.0,64,0,44,192.0,0
437,3.0,52,0,37,156.0,0
698,2.0,26,0,36,52.0,0
275,2.0,56,0,37,112.0,0
815,3.0,100,0,43,300.0,0
876,3.0,40,1,40,120.0,0
302,3.0,25,0,36,75.0,0
1083,3.0,85,0,53,255.0,0
242,2.0,56,0,41,112.0,0
320,0.0,14,1,49,0.0,0
132,3.0,113,0,44,339.0,0
877,0.0,9,1,60,0.0,0
714,3.0,37,0,36,111.0,0
101,0.0,1,1,49,0.0,0
1047,0.0,4,1,49,0.0,0
1051,0.0,4,1,60,0.0,0
75,3.0,49,1,41,147.0,0
84,2.0,7,1,56,14.0,0
660,3.0,38,0,36,114.0,0
312,3.0,22,0,28,66.0,0
875,2.0,29,0,40,58.0,0
368,2.0,32,0,36,64.0,0
103,2.0,48,0,41,96.0,0
553,3.0,31,0,40,93.0,0
876,3.0,59,0,28,177.0,0
816,3.0,75,1,53,225.0,0
527,2.0,5,1,54,10.0,1
703,3.0,56,0,53,168.0,0
701,2.0,58,1,50,116.0,0
516,0.0,6,1,49,0.0,0
508,0.0,3,1,56,0.0,0
150,2.0,28,0,36,56.0,0
350,0.0,13,1,56,0.0,0
749,0.0,7,1,54,0.0,0
398,2.0,33,0,41,66.0,0
1020,0.0,13,1,60,0.0,0
673,2.0,13,0,60,26.0,0
534,2.0,10,1,60,20.0,0
1006,0.0,14,1,54,0.0,0
563,0.0,3,1,60,0.0,0
634,3.0,83,0,43,249.0,0
393,0.0,9,0,60,0.0,0
993,0.0,10,1,56,0.0,0
399,0.0,10,1,60,0.0,0
956,3.0,100,0,49,300.0,0
1053,2.0,45,0,50,90.0,0
606,0.0,4,1,49,0.0,0
699,0.0,3,1,57,0.0,0
444,2.0,59,1,41,118.0,0
952,0.0,3,1,49,0.0,0
1089,3.0,57,0,43,171.0,0
769,3.0,107,0,43,321.0,0
874,2.0,25,0,36,50.0,0
158,3.0,62,0,53,186.0,0
893,2.0,5,1,60,10.0,0
450,3.0,87,1,40,261.0,0
480,3.0,26,0,36,78.0,0
685,3.0,42,0,28,126.0,0
289,0.0,8,1,57,0.0,0
546,2.0,36,0,28,72.0,0
390,3.0,48,0,36,144.0,0
914,3.0,40,0,41,120.0,0
674,3.0,66,0,43,198.0,0
419,2.0,36,1,36,72.0,0
392,2.0,51,0,36,102.0,0
141,3.0,20,1,28,60.0,0
840,3.0,47,0,40,141.0,0
146,3.0,47,0,43,141.0,0
177,3.0,35,0,50,105.0,0
380,2.0,17,1,36,34.0,0
1075,2.0,54,0,50,108.0,0
269,3.0,20,0,37,60.0,0
872,0.0,6,1,57,0.0,0
276,2.0,14,0,56,28.0,0
478,3.0,27,0,28,81.0,0
377,3.0,41,0,41,123.0,0
962,3.0,101,0,43,303.0,0
562,0.0,6,1,49,0.0,0
309,2.0,10,1,54,20.0,0
405,3.0,56,0,41,168.0,0
696,2.0,22,0,37,44.0,0
1038,3.0,71,0,53,213.0,0
733,2.0,50,0,40,100.0,0
277,3.0,24,0,40,72.0,0
42,2.0,39,0,28,78.0,0
288,3.0,38,0,50,114.0,0
335,3.0,58,0,40,174.0,0
836,0.0,6,1,60,0.0,0
311,2.0,32,0,37,64.0,0
375,3.0,20,1,40,60.0,0
369,3.0,93,0,49,279.0,0
689,0.0,1,1,49,0.0,0
871,0.0,9,0,56,0.0,0
133,3.0,106,0,43,318.0,0
836,3.0,23,0,36,69.0,0
280,2.0,7,1,54,14.0,1
798,2.0,33,0,28,66.0,0
1071,3.0,27,0,28,81.0,0
532,2.0,13,1,54,26.0,1
190,0.0,4,1,56,0.0,0
9,0.0,8,1,60,0.0,0
943,2.0,57,1,40,114.0,0
405,3.0,104,1,49,312.0,0
58,3.0,59,0,28,177.0,0
53,2.0,46,0,37,92.0,0
836,2.0,27,0,40,54.0,0
541,3.0,111,0,43,333.0,0
1034,2.0,54,0,36,108.0,0
980,3.0,55,0,36,165.0,0
522,2.0,30,0,41,60.0,0
685,2.0,2,0,54,4.0,0
219,0.0,6,0,54,0.0,0
112,3.0,112,0,43,336.0,0
764,3.0,117,0,53,351.0,0
99,2.0,23,0,28,46.0,0
236,2.0,20,0,36,40.0,0
76,2.0,7,1,49,14.0,0
12,2.0,52,0,41,104.0,0
680,2.0,54,1,36,108.0,0
154,2.0,28,0,28,56.0,0
931,0.0,7,1,60,0.0,0
196,0.0,1,1,57,0.0,0
1019,0.0,5,0,54,0.0,0
429,3.0,54,0,41,162.0,0
771,3.0,17,1,37,51.0,0
1087,3.0,43,0,41,129.0,0
897,2.0,14,1,54,28.0,1
20,2.0,54,1,41,108.0,0
535,2.0,20,1,37,40.0,0
339,0.0,9,1,60,0.0,0
1033,0.0,13,1,60,0.0,0
698,3.0,25,0,50,75.0,0
898,3.0,30,1,37,90.0,0
252,2.0,29,1,36,58.0,0
366,2.0,53,0,37,106.0,0
835,3.0,61,0,41,183.0,0
873,0.0,5,1,60,0.0,0
729,3.0,52,0,36,156.0,0
694,2.0,17,0,28,34.0,0
816,3.0,37,0,41,111.0,0
718,3.0,41,0,40,123.0,0
173,2.0,12,1,56,24.0,0
